Time,NodeId,Delay
13.2167,407,0.423844
13.2168,36,0.819881
13.2169,36,0.328824
13.2172,403,0.29818
13.2173,36,0.400337
13.2178,408,0.238731
13.2178,36,1.33224
13.2179,36,0.643942
13.2179,36,0.440772
13.218,36,0.727264
13.2182,406,0.655328
13.2183,36,0.419189
13.2183,400,0.400466
13.2186,401,0.713943
13.2187,36,0.330691
13.2188,407,0.423804
13.2188,403,0.296645
13.2189,36,0.401937
13.219,402,0.46466
13.2194,408,0.238731
13.2195,36,0.442355
13.2196,36,1.31871
13.22,36,1.33439
13.22,36,0.818709
13.2201,405,0.841304
13.2202,400,0.373746
13.2204,403,0.298229
13.2204,36,0.421318
13.2205,36,0.403587
13.2206,36,0.324791
13.2208,36,0.722164
13.2208,36,0.641059
13.2209,401,0.708991
13.2209,407,0.425933
13.221,406,0.643971
13.2211,408,0.240382
13.2211,36,0.443939
13.2218,402,0.464893
13.222,403,0.296774
13.2222,36,0.405238
13.2223,400,0.375829
13.2226,36,0.41706
13.2227,36,0.445523
13.2227,408,0.240382
13.223,407,0.425973
13.2231,36,0.821877
13.2233,405,0.844489
13.2236,403,0.298358
13.2237,36,0.643942
13.2238,36,0.406888
13.224,36,1.32312
13.2242,400,0.364378
13.2243,36,0.446962
13.2243,402,0.467443
13.2244,408,0.240382
13.2246,406,0.647581
13.2247,36,0.419189
13.2251,403,0.296774
13.2252,407,0.428102
13.2255,36,0.348649
13.2259,36,0.804574
13.226,408,0.242032
13.2261,400,0.366286
13.2264,36,0.449077
13.2266,36,0.632102
13.2267,403,0.298358
13.2268,36,0.387058
13.2269,402,0.467443
13.2269,36,0.331066
13.2271,405,0.839633
13.2271,36,0.3503
13.2273,407,0.428102
13.2274,406,0.647113
13.2276,36,0.450104
13.2277,408,0.242032
13.228,400,0.351017
13.2282,36,0.72958
13.2283,403,0.296683
13.2288,36,0.348783
13.2288,36,0.325186
13.2289,36,0.389187
13.2292,36,0.807874
13.2293,408,0.243682
13.2294,402,0.467443
13.2294,407,0.430231
13.2295,36,0.634984
13.2297,36,0.452193
13.2299,403,0.298267
13.2299,400,0.352926
13.23,401,0.718107
13.2303,406,0.64737
13.2303,405,0.842818
13.2304,36,0.350434
13.2307,36,0.327074
13.2308,36,0.71938
13.2309,36,0.45326
13.231,36,1.3301
13.231,408,0.243682
13.2311,36,0.374283
13.2316,407,0.430231
13.2316,403,0.296695
13.2316,36,0.801789
13.2318,400,0.344942
13.232,402,0.469993
13.2321,36,0.345751
13.2322,401,0.713898
13.2323,36,0.637866
13.2325,36,0.454911
13.2326,36,0.321174
13.2326,408,0.245333
13.2331,406,0.650202
13.2332,36,0.376412
13.2333,36,0.72193
13.2334,403,0.298424
13.2337,407,0.43236
13.2337,36,0.347401
13.2337,400,0.346851
13.2338,405,0.834513
13.2342,36,0.456416
13.2343,408,0.245333
13.2343,401,0.716049
13.2345,36,0.323083
13.2346,36,0.804767
13.235,402,0.47046
13.2351,403,0.298345
13.2352,36,0.640749
13.2353,36,0.370025
13.2354,36,0.342721
13.2354,36,1.34349
13.2357,400,0.346851
13.2358,36,0.458067
13.2358,407,0.42152
13.2359,36,0.71938
13.2359,406,0.650202
13.2359,408,0.246983
13.2364,36,0.324816
13.2365,401,0.716049
13.2366,405,0.828749
13.2367,403,0.299929
13.237,36,0.344369
13.2375,36,0.365572
13.2375,36,0.459615
13.2375,402,0.47301
13.2376,400,0.34876
13.2376,36,1.34565
13.2377,408,0.247134
13.238,407,0.423649
13.2381,36,0.799734
13.2384,36,0.643631
13.2384,403,0.300164
13.2384,36,1.33755
13.2386,401,0.716049
13.2386,36,0.722164
13.2387,36,0.339686
13.2387,36,0.327105
13.2388,406,0.653035
13.2391,36,0.461223
13.2394,408,0.248785
13.2395,400,0.348061
13.2395,405,0.831631
13.2396,36,0.367701
13.2397,36,1.33921
13.24,403,0.301748
13.2401,402,0.47301
13.2403,407,0.42152
13.2403,36,0.341337
13.2406,36,0.328808
13.2408,36,0.4628
13.241,408,0.248785
13.2412,36,0.711964
