Time,Hops
2.3968,2
2.39778,2
2.39787,3
2.3984,5
2.39936,2
2.39969,2
2.40017,2
2.40106,3
2.40117,3
2.40123,5
2.40132,2
2.40253,2
2.40257,2
2.403,2
2.40406,5
2.40447,2
2.40447,3
2.40545,2
2.4057,2
2.40617,3
2.4066,2
2.4069,5
2.4073,2
2.40777,3
2.40833,2
2.40897,2
2.40903,3
2.40944,2
2.40973,5
2.41045,2
2.41107,3
2.41121,2
2.41127,3
2.41203,2
2.41256,5
2.41265,2
2.41382,3
2.4141,2
2.41437,3
2.41452,2
2.4152,2
2.41539,5
2.41587,2
2.41637,3
2.41698,2
2.41762,2
2.41767,3
2.41823,5
2.41837,2
2.41896,3
2.41909,2
2.41986,2
2.41995,2
2.42097,3
2.42106,5
2.42172,2
2.4218,3
2.42274,2
2.42301,2
2.42308,2
2.42312,2
2.42327,2
2.42353,2
2.4238,2
2.42389,5
2.42406,2
2.4242,3
2.42427,3
2.42433,2
2.42459,2
2.42481,2
2.42553,2
2.42629,2
2.42657,3
2.42672,5
2.42757,3
2.42787,2
2.42874,2
2.42912,3
2.42945,2
2.42956,5
2.43104,2
2.43124,3
2.43167,3
2.43196,2
2.43239,5
2.43262,2
2.43277,3
2.43339,2
2.43417,4
2.43417,3
2.43437,3
2.43447,2
2.43518,2
2.43522,5
2.43614,2
2.43677,3
2.43734,2
2.43746,3
2.43748,3
2.43805,5
2.43894,2
2.43901,2
2.43915,2
2.43932,3
2.44051,2
2.44078,3
2.44089,5
2.44092,2
2.44129,3
2.44196,4
2.44221,2
2.44229,3
2.44282,2
2.44368,2
2.44372,5
2.44408,3
2.44442,3
2.44473,2
2.44492,2
2.44526,2
2.44555,3
2.44655,5
2.44664,2
2.44731,2
2.44738,3
2.44747,3
2.44855,2
2.44889,2
2.44938,5
2.44952,3
2.44975,4
2.44997,3
2.45046,2
2.45047,2
2.45068,3
2.45068,2
2.45206,2
2.45207,3
2.4521,3
2.45222,5
2.45237,2
2.45364,2
2.45383,2
2.45398,3
2.45402,2
2.45421,2
2.45423,3
2.45428,2
2.45439,2
2.45458,2
2.45491,2
2.45496,3
2.45505,5
2.45618,2
2.45636,3
2.45645,2
2.45649,2
2.45717,3
2.45728,3
2.45754,4
2.45788,5
2.45808,2
2.45809,2
2.45849,3
2.45972,3
2.46,2
2.46012,2
2.46018,2
2.46058,3
2.46062,3
2.46071,5
2.46171,2
2.46209,2
2.46221,2
2.46227,3
2.46275,3
2.46329,2
2.46348,2
2.46354,5
2.4638,5
2.46388,3
2.46399,2
2.46482,3
2.46488,3
2.46506,2
2.46507,3
2.46527,3
2.46546,3
2.46588,4
2.4659,2
2.46664,5
2.46665,2
2.46718,3
2.46764,3
2.46781,2
2.46798,2
2.46823,2
2.46937,3
2.46947,5
2.46972,2
2.46973,5
2.46977,4
2.46981,2
2.46999,5
2.47004,3
2.47025,5
2.47048,3
2.47051,5
2.47077,5
2.47102,5
2.47128,5
2.4714,2
2.4715,3
2.47154,5
2.47163,2
2.47287,3
2.47298,2
2.47317,2
2.47354,2
2.47363,3
2.47367,4
2.47374,2
2.47379,3
2.47438,5
2.47475,2
2.47502,3
2.47545,2
2.47576,3
2.47634,2
2.47652,2
2.47671,2
2.4769,2
2.47709,3
2.47709,2
2.47721,5
2.47728,2
2.47735,2
2.47744,2
2.47756,4
2.47757,3
2.47761,2
2.47778,2
2.47788,3
2.47794,2
2.47811,2
2.47922,2
2.47926,2
2.47944,2
2.47951,2
2.48001,3
2.48004,5
2.48039,3
2.48044,3
2.4808,2
2.48135,2
2.48146,4
2.48214,3
2.48238,2
2.48267,3
2.48287,5
2.48313,5
2.48325,2
2.48343,2
2.4836,2
