Time,Bytes
9.92824,590
9.92831,590
9.92866,590
9.92887,590
9.92923,590
9.92926,590
9.93035,54
9.93062,542
9.93077,542
9.93078,590
9.93079,590
9.93082,590
9.93084,590
9.93115,590
9.9324,590
9.93242,590
9.93269,590
9.93275,590
9.93328,590
9.93334,590
9.93394,542
9.93398,590
9.93398,590
9.93442,542
9.9345,590
9.9346,590
9.9347,542
9.93514,590
9.93557,590
9.93559,590
9.93589,590
9.93617,590
9.93643,54
9.93651,590
9.93681,590
9.93683,590
9.93711,542
9.93715,590
9.93832,590
9.93841,590
9.93844,590
9.93874,590
9.93876,590
9.93879,542
9.93931,590
9.93964,590
9.94027,542
9.94032,590
9.94032,590
9.94091,590
9.94099,590
9.9419,542
9.9419,590
9.94192,590
9.94219,590
9.94223,590
9.94248,590
9.94287,542
9.943,590
9.94344,542
9.94349,590
9.94354,590
9.94414,590
9.94495,542
9.945,590
9.94503,54
9.94507,590
9.94531,590
9.94557,54
9.94579,590
9.946,590
9.94605,590
9.94609,590
9.9466,590
9.94666,590
9.94696,542
9.94785,590
9.94796,590
9.94812,542
9.94824,590
9.94839,54
9.9484,590
9.94854,590
9.94864,590
9.94908,590
9.94937,542
9.94977,590
9.94982,590
9.94987,590
9.95004,54
9.95022,54
9.95039,54
9.95056,54
9.95074,54
9.95079,54
9.95091,54
9.95104,542
9.95109,54
9.95119,590
9.95123,590
9.95126,54
9.95129,542
9.95137,590
9.95141,590
9.95144,54
9.95161,54
9.95179,54
9.95193,590
9.95196,54
9.95214,54
9.95231,54
9.95249,54
9.95266,54
9.95284,54
9.95294,590
9.95299,590
9.95301,54
9.95317,590
9.95318,54
9.95326,590
9.95336,54
9.95374,590
9.95392,54
9.95394,54
9.95407,590
9.95432,54
9.95445,542
9.95457,590
9.95476,590
9.95513,542
9.9561,590
9.95616,590
9.95629,590
9.95656,54
9.95661,590
9.95684,542
9.95716,590
9.9572,54
9.95725,590
9.95762,542
9.95774,590
9.95789,54
9.95803,54
9.95818,54
9.95832,54
9.95847,54
9.95884,590
9.95921,542
9.95927,590
9.95949,590
9.95999,590
9.96005,590
9.96013,590
9.96036,54
9.96074,590
9.96079,542
9.96134,590
9.96139,590
9.96162,54
9.96163,590
9.96237,590
9.96244,590
